Categoría,Código,Título,Descripción,Fuente
designAndConstruction,landAvailability,Disponibilidad de tierras y riesgo de adquisición,Se refiere a la falta de disponibilidad de terreno o de sitio para construir la infraestructura en el momento de la firma del contrato,https://ppp-certification.com/ppp-certification-guide/58-introducing-main-project-risks-and-their-potential-allocation56
designAndConstruction,environmental,Riesgo medioambiental,"Los riesgos medioambientales pueden estar relacionados con una serie de cuestiones ambientales tales como la contaminación general, la contaminación del aire, la contaminación del agua, el impacto en el medio ambiente, etc. Una evaluación adversa puede requerir cambios en el diseño que lleven a un impacto directo en el costo de la infraestructura",https://ppp-certification.com/ppp-certification-guide/58-introducing-main-project-risks-and-their-potential-allocation56
designAndConstruction,design,Riesgos de diseño,Representa la posibilidad de que la calidad del diseño del activo no sea adecuada para satisfacer los requisitos del proyecto,https://ppp-certification.com/ppp-certification-guide/58-introducing-main-project-risks-and-their-potential-allocation56
designAndConstruction,construction,Riesgos de construcción,"Representa la posibilidad de que durante la fase de construcción, los costos reales del proyecto o el tiempo de construcción exceda el tiempo y los costos proyectados",https://ppp-certification.com/ppp-certification-guide/58-introducing-main-project-risks-and-their-potential-allocation56
designAndConstruction,completion,Finalización y puesta en marcha,Se refiere a la falta de cumplimiento de la construcción o finalización según lo prescrito,https://ppp-certification.com/ppp-certification-guide/58-introducing-main-project-risks-and-their-potential-allocation56
operating,revenue,Riesgo de ingresos,Se refiere al riesgo de que los flujos de ingresos no se evalúen correctamente,https://ppp-certification.com/ppp-certification-guide/58-introducing-main-project-risks-and-their-potential-allocation56
operating,inflationAndFx,"Riesgo de cambio, inflación e indexación",Riesgo de que los cambios en los tipos de cambio o la inflación afecten adversamente los resultados del proyecto,https://ppp-certification.com/ppp-certification-guide/58-introducing-main-project-risks-and-their-potential-allocation56
operating,availabilityAndQuality,Riesgo de disponibilidad y de calidad,Riesgo vinculado a las cuestiones de disponibilidad y calidad relacionadas con los requisitos de rendimiento y los niveles objetivo de rendimiento,https://ppp-certification.com/ppp-certification-guide/58-introducing-main-project-risks-and-their-potential-allocation56
operating,otherRevenue,Otros eventos de riesgo de ingresos,riesgo de crédito o de la contraparte; fraude/falta de pago por parte de los usuarios,https://ppp-certification.com/ppp-certification-guide/58-introducing-main-project-risks-and-their-potential-allocation56
finance,financeAvailability,Disponibilidad de financiamiento,Representa el riesgo de que el financiamiento no esté disponible en el cierre comercial o antes de que comience la construcción.,https://ppp-certification.com/ppp-certification-guide/58-introducing-main-project-risks-and-their-potential-allocation56
finance,refinancing,Riesgos de refinanciamiento,Riesgos relacionados con la desventaja del refinanciamiento,https://ppp-certification.com/ppp-certification-guide/58-introducing-main-project-risks-and-their-potential-allocation56
other,changeInLaw,Cambios en la ley,Riesgo de que un cambio en la legislación general o en el marco regulatorio del sector afecte negativamente al proyecto,https://ppp-certification.com/ppp-certification-guide/58-introducing-main-project-risks-and-their-potential-allocation56
other,forceMajeure,Fuerza mayor,"Riesgo de que acontecimientos externos ajenos al control de las partes del contrato, como catástrofes naturales, guerras, terrorismo, etc., afecten al proyecto",https://ppp-certification.com/ppp-certification-guide/58-introducing-main-project-risks-and-their-potential-allocation56
other,earlyTermination,Terminación anticipada,Riesgo de que el importe de la indemnización por rescisión anticipada sea insuficiente para hacer frente a las obligaciones financieras de la parte privada o sea inferior a lo previsto,https://ppp-certification.com/ppp-certification-guide/58-introducing-main-project-risks-and-their-potential-allocation56
other,compliance,Riesgos de cumplimiento,Riesgos derivados del cumplimiento o de la ausencia de obligaciones reglamentarias relacionadas con el desarrollo del proyecto,
other,all,Todos los riesgos,Todos los riesgos derivados del proyecto,
